chr	window	start	end	good	error	overrep	lounrep	hiunrep	others
U00096.1	0	1	50000	46917	45	0	13	0	3025
U00096.1	1	50001	100000	46686	155	1	0	0	3158
U00096.1	2	100001	150000	48361	62	0	0	0	1577
U00096.1	3	150001	200000	46327	745	9	24	0	2895
U00096.1	4	200001	250000	46849	172	0	0	0	2979
U00096.1	5	250001	300000	35374	6467	9	0	0	8150
U00096.1	6	300001	350000	44564	819	382	0	0	4235
U00096.1	7	350001	400000	43482	207	394	0	0	5917
U00096.1	8	400001	450000	49081	3	0	0	0	916
U00096.1	9	450001	500000	47570	595	5	0	0	1830
U00096.1	10	500001	550000	42121	1840	926	0	0	5113
U00096.1	11	550001	600000	47209	62	382	12	0	2335
U00096.1	12	600001	650000	43546	851	5	0	0	5598
U00096.1	13	650001	700000	48219	53	0	0	0	1728
U00096.1	14	700001	750000	42341	472	2658	0	0	4529
U00096.1	15	750001	800000	49157	0	0	0	0	843
U00096.1	16	800001	850000	47644	172	0	0	0	2184
U00096.1	17	850001	900000	49046	0	0	0	0	954
U00096.1	18	900001	950000	48021	77	166	0	0	1736
U00096.1	19	950001	1000000	48498	28	0	0	0	1474
U00096.1	20	1000001	1050000	47803	15	0	1	0	2181
U00096.1	21	1050001	1100000	45292	229	617	0	0	3862
U00096.1	22	1100001	1150000	47618	148	1	0	0	2233
U00096.1	23	1150001	1200000	49090	15	0	0	0	895
U00096.1	24	1200001	1250000	48490	27	0	23	0	1460
U00096.1	25	1250001	1300000	48409	77	0	10	0	1504
U00096.1	26	1300001	1350000	49102	25	4	0	0	869
U00096.1	27	1350001	1400000	45966	231	0	1	0	3802
U00096.1	28	1400001	1450000	48168	793	0	0	0	1039
U00096.1	29	1450001	1500000	48391	76	0	7	0	1526
U00096.1	30	1500001	1550000	47906	201	898	0	0	995
U00096.1	31	1550001	1600000	49053	0	0	2	0	945
U00096.1	32	1600001	1650000	49378	25	0	0	0	597
U00096.1	33	1650001	1700000	49786	25	0	0	0	189
U00096.1	34	1700001	1750000	47755	101	74	0	0	2070
U00096.1	35	1750001	1800000	49321	12	0	0	0	667
U00096.1	36	1800001	1850000	46842	419	0	3	0	2736
U00096.1	37	1850001	1900000	48832	53	0	0	0	1115
U00096.1	38	1900001	1950000	49246	0	0	5	0	749
U00096.1	39	1950001	2000000	48930	23	0	13	0	1034
U00096.1	40	2000001	2050000	47780	49	0	20	0	2151
U00096.1	41	2050001	2100000	47694	125	8	12	0	2161
U00096.1	42	2100001	2150000	47954	126	0	0	0	1920
U00096.1	43	2150001	2200000	45684	237	382	0	0	3697
U00096.1	44	2200001	2250000	47212	149	130	0	0	2509
U00096.1	45	2250001	2300000	48457	143	0	0	0	1400
U00096.1	46	2300001	2350000	48239	163	348	0	0	1250
U00096.1	47	2350001	2400000	45439	224	0	0	0	4337
U00096.1	48	2400001	2450000	48066	77	0	0	0	1857
U00096.1	49	2450001	2500000	48324	0	0	7	0	1669
U00096.1	50	2500001	2550000	45401	539	0	7	0	4053
U00096.1	51	2550001	2600000	43389	536	27	0	0	6048
U00096.1	52	2600001	2650000	47329	72	0	0	0	2599
U00096.1	53	2650001	2700000	45785	234	0	0	0	3981
U00096.1	54	2700001	2750000	48551	90	0	0	0	1359
U00096.1	55	2750001	2800000	45592	991	0	0	0	3417
U00096.1	56	2800001	2850000	43181	510	4	0	0	6305
U00096.1	57	2850001	2900000	47226	66	31	35	0	2642
U00096.1	58	2900001	2950000	48112	50	2	2	0	1834
U00096.1	59	2950001	3000000	49263	23	0	0	0	714
U00096.1	60	3000001	3050000	49377	46	5	0	0	572
U00096.1	61	3050001	3100000	48591	144	0	0	0	1265
U00096.1	62	3100001	3150000	47216	166	8	0	0	2610
U00096.1	63	3150001	3200000	48370	151	0	1	0	1478
U00096.1	64	3200001	3250000	47257	201	31	0	0	2511
U00096.1	65	3250001	3300000	48043	222	0	0	0	1735
U00096.1	66	3300001	3350000	49235	18	0	1	0	746
U00096.1	67	3350001	3400000	46230	246	0	0	0	3524
U00096.1	68	3400001	3450000	49029	171	13	53	0	734
U00096.1	69	3450001	3500000	49646	0	0	0	0	354
U00096.1	70	3500001	3550000	47840	334	3	0	0	1823
U00096.1	71	3550001	3600000	45799	804	0	13	0	3384
U00096.1	72	3600001	3650000	39612	520	2772	0	0	7096
U00096.1	73	3650001	3700000	47446	40	0	35	0	2479
U00096.1	74	3700001	3750000	46182	355	0	0	0	3463
U00096.1	75	3750001	3800000	44654	138	2877	0	0	2331
U00096.1	76	3800001	3850000	47415	28	0	21	0	2536
U00096.1	77	3850001	3900000	46537	611	0	21	0	2831
U00096.1	78	3900001	3950000	48843	279	4	28	0	846
U00096.1	79	3950001	4000000	46877	755	0	0	0	2368
U00096.1	80	4000001	4050000	46843	646	13	6	0	2492
U00096.1	81	4050001	4100000	47825	208	1	28	0	1938
U00096.1	82	4100001	4150000	47094	253	0	0	0	2653
U00096.1	83	4150001	4200000	47207	113	13	4	0	2663
U00096.1	84	4200001	4250000	47262	80	0	0	0	2658
U00096.1	85	4250001	4300000	46703	110	0	17	0	3170
U00096.1	86	4300001	4350000	40374	5131	165	0	0	4330
U00096.1	87	4350001	4400000	47389	71	0	0	0	2540
U00096.1	88	4400001	4450000	49028	69	0	1	0	902
U00096.1	89	4450001	4500000	48841	248	0	0	0	911
U00096.1	90	4500001	4550000	43543	926	5	0	0	5526
U00096.1	91	4550001	4600000	47466	214	0	1	0	2319
U00096.1	92	4600001	4639221	37913	30	141	0	0	1113
