BIN	U00096.1	U00096.3
-1	1	0
-0.95	4906	33
-0.9	4	0
-0.85	13	6
-0.8	19	10
-0.75	33	32
-0.7	76	75
-0.65	71	161
-0.6	65	78
-0.55	60	75
-0.5	35	144
-0.45	38	123
-0.4	37	120
-0.35	29	216
-0.3	39	262
-0.25	49	195
-0.2	104	367
-0.15	115	479
-0.1	127	424
-0.05	120	406
0	168	6144
0.05	45	529
0.1	62	595
0.15	91	599
0.2	149	382
0.25	120	435
0.3	279	475
0.35	187	242
0.4	175	143
0.45	272	74
0.5	280	19
0.55	147	8
0.6	222	3
0.65	200	0
0.7	127	0
0.75	229	0
0.8	357	0
0.85	337	0
0.9	321	0
0.95	386	0
1	650	0
1.05	377	0
1.1	416	0
1.15	487	0
1.2	231	0
1.25	242	0
1.3	192	0
1.35	74	0
1.4	50	0
1.45	13	0
1.5	15	0
1.55	8	0
1.6	3	0
1.85	1	0
